id,title,handle,description,status,category_id,type,collection_id,tags,thumbnail,weight,length,height,width,hs_code,origin_country,mid_code,material
prod_98,nan,nan,Uniforme escolar - nan,published,generic,uniform,,"Genérico,nan",,,,,,,CL,,
prod_99,Shor - COLEGIO LOS REYES,shor-colegio-los-reyes,Uniforme escolar - Short Niña,published,college_1,uniform,,"COLEGIO LOS REYES,Short Niña",,,,,,,CL,,
prod_100,Polera Manga Cor - YERPUN - MONTESORI,polera-manga-cor-yerpun-montesori,Uniforme escolar - Polera Manga Corta,published,college_9,uniform,,"YERPUN - MONTESORI,Polera Manga Corta",,,,,,,CL,,
prod_101,Polera Manga Larga - YERPUN - MONTESORI,polera-manga-larga-yerpun-montesori,Uniforme escolar - Polera Manga Larga,published,college_9,uniform,,"YERPUN - MONTESORI,Polera Manga Larga",,,,,,,CL,,
prod_102,Pan - YERPUN - MONTESORI,pan-yerpun-montesori,Uniforme escolar - Pantalón,published,college_9,uniform,,"YERPUN - MONTESORI,Pantalón",,,,,,,CL,,
prod_103,Polerón - YERPUN - MONTESORI,polern-yerpun-montesori,Uniforme escolar - Polerón,published,college_9,uniform,,"YERPUN - MONTESORI,Polerón",,,,,,,CL,,
prod_104,Calza Gris - VARIOS COLEGIOS,calza-gris-varios-colegios,Uniforme escolar - Calza Gris,published,college_7,uniform,,"VARIOS COLEGIOS,Calza Gris",,,,,,,CL,,
prod_105,Polar - YERPUN - MONTESORI,polar-yerpun-montesori,Uniforme escolar - Polar,published,college_9,uniform,,"YERPUN - MONTESORI,Polar",,,,,,,CL,,
prod_106,Parka - YERPUN - MONTESORI,parka-yerpun-montesori,Uniforme escolar - Parka,published,college_9,uniform,,"YERPUN - MONTESORI,Parka",,,,,,,CL,,
prod_107,Pan - VARIOS COLEGIOS,pan-varios-colegios,Uniforme escolar - Pantalón,published,college_7,uniform,,"VARIOS COLEGIOS,Pantalón",,,,,,,CL,,
prod_108,Falda - VARIOS COLEGIOS,falda-varios-colegios,Uniforme escolar - Falda,published,college_7,uniform,,"VARIOS COLEGIOS,Falda",,,,,,,CL,,
