fecha,item,hora,concepto,monto,responsable
2023-02-23 00:00:00,,1899-12-30 06:42:00,RETIRO,90000,CARY
2023-02-24 00:00:00,,1899-12-30 10:24:00,retiro,80000,cary
2023-02-24 00:00:00,,1899-12-30 05:37:00,RETIRO,120000,CARY
2023-02-24 00:00:00,,1899-12-30 06:15:00,RETIRO,60000,CARY
2023-02-25 00:00:00,,1899-12-30 02:16:00,RETIRO,40000,CARY
2023-02-25 00:00:00,,1899-12-30 06:51:00,RETIRO,60000,CARY
2023-02-27 00:00:00,,1899-12-30 09:55:00,retiro ,100000,claudia
2023-02-27 00:00:00,,1899-12-30 12:30:00,RETIRO,100000,JULIA
2023-02-27 00:00:00,,1899-12-30 02:36:00,retiro,200000,cary
2023-02-27 00:00:00,,1899-12-30 02:38:00,retiro,100000,cary
2023-02-27 00:00:00,,1899-12-30 03:58:00,retiro,70000,cary
2023-02-27 00:00:00,,1899-12-30 04:28:00,retiro,130000,cary
2023-02-27 00:00:00,,1899-12-30 05:41:00,retiro,130000,cary
2023-02-27 00:00:00,,1899-12-30 06:24:00,retiro,200000,cary
2023-02-27 00:00:00,,1899-12-30 08:12:00,retiro,60000,cary
2023-02-28 00:00:00,,1899-12-30 02:46:00,RETIRO,80000,CARY
2023-02-28 00:00:00,,1899-12-30 02:46:00,RETIRO,140000,CARY
2023-02-28 00:00:00,,1899-12-30 04:24:00,RETIRO,120000,CARY
2023-02-28 00:00:00,,1899-12-30 04:24:00,RETIRO,100000,CARY
2023-02-28 00:00:00,,1899-12-30 07:10:00,RETIRO,40000,CARY
2023-02-28 00:00:00,,1899-12-30 08:01:00,RETIRO,80000,CARY
2023-03-01 00:00:00,,1899-12-30 11:23:00,RETIRO,50000,CARY
2023-03-01 00:00:00,,1899-12-30 01:38:00,RETIRO,120000,CARY
2023-03-01 00:00:00,,1899-12-30 04:09:00,RETIRO,130000,CARY
2023-03-01 00:00:00,,1899-12-30 04:37:00,RETIRO,20000,JULIA
2023-03-01 00:00:00,,1899-12-30 05:28:00,RETIRO,140000,CARY
2023-03-01 00:00:00,,1899-12-30 06:32:00,RETIRO,150000,CARY
2023-03-01 00:00:00,,1899-12-30 07:03:00,RETIRO,50000,CARY
2023-03-01 00:00:00,,1899-12-30 07:58:00,RETIRO,90000,CARY
2023-02-26 00:00:00,,1899-12-30 15:40:00,retiro,100000,claudia
2023-02-26 00:00:00,,1899-12-30 12:25:00,RETIRO,100000,JULIA
2023-03-02 00:00:00,,1899-12-30 12:27:00,retiro,90000,cary
2023-03-02 00:00:00,,1899-12-30 04:27:00,RETIRO,110000,CARY
2023-03-02 00:00:00,,1899-12-30 05:47:00,RETIRO,180000,CARY
2023-03-02 00:00:00,,1899-12-30 06:42:00,RETIRO,100000,CARY
2023-03-02 00:00:00,,1899-12-30 07:46:00,RETIRO,80000,CARY
2023-03-03 00:00:00,,1899-12-30 01:29:00,RETIRO,100000,CARY
2023-03-03 00:00:00,,1899-12-30 06:38:00,RETIRO,40000,CARY
2023-03-04 00:00:00,,1899-12-30 02:00:00,RETIRO,90000,CARY
2023-03-04 00:00:00,,1899-12-30 17:10:00,RETIRO,40000,CLAUDIA
2023-03-04 00:00:00,,1899-12-30 19:00:00,RETIRO,130000,CLAUDIA
2023-03-05 00:00:00,,1899-12-30 16:55:00,retiro,100000,claudia
2023-03-05 00:00:00,,1899-12-30 18:35:00,retiro,70000,claudia
2023-03-06 00:00:00,,1899-12-30 01:31:00,RETIRO,70000,CARY
2023-03-06 00:00:00,,1899-12-30 05:24:00,RETRIRO,40000,CARY
2023-03-06 00:00:00,,1899-12-30 05:35:00,RETIRO,70000,CARY
2023-03-06 00:00:00,,1899-12-30 19:00:00,retiro,40000,claudia
2023-03-07 00:00:00,,1899-12-30 04:19:00,retiro,100000,cary
2023-03-07 00:00:00,,1899-12-30 05:24:00,RETIRO,80000,CARY
2023-03-08 00:00:00,,1899-12-30 04:39:00,RETIRO,50000,CARY
2023-03-10 00:00:00,,1899-12-30 03:51:00,retiro,100000,cary
2023-03-11 00:00:00,,1899-12-30 13:52:00,RETIRO,50000,CLAUDIA
2023-03-13 00:00:00,,1899-12-30 04:34:00,retiro,90000,cary
2023-03-13 00:00:00,,1899-12-30 19:00:00,RETIRO,50000,CLAUDIA
2023-03-14 00:00:00,,1899-12-30 11:14:00,retiro,50000,cary
2023-03-14 00:00:00,,1899-12-30 03:55:00,RETIRO,60000,CARY
2023-03-15 00:00:00,,1899-12-30 16:02:00,retiro,70000,claudia
2023-03-15 00:00:00,,1899-12-30 18:56:00,RETIRO,20000,CLAUDIA
2023-03-16 00:00:00,,1899-12-30 18:05:00,RETIRO,40000,CLAUDIA
2023-03-17 00:00:00,,1899-12-30 13:10:00,flete,4000,claudia
2023-03-17 00:00:00,,1899-12-30 17:50:00,retiro,40000,claudia
2023-03-20 00:00:00,,1899-12-30 12:55:00,RETIRO,50000,CLAUDIA
2023-03-20 00:00:00,,1899-12-30 14:05:00,RETIRO,120000,CLAUDIA
2023-03-22 00:00:00,,1899-12-30 11:30:00,RETIRO,70000,CLAUDIA
2023-03-23 00:00:00,,1899-12-30 17:30:00,retiro,50000,claudia
2023-03-24 00:00:00,,1899-12-30 14:00:00,FLETE,4000,CLAUDIA
2023-03-24 00:00:00,,1899-12-30 15:30:00,RETIRO,30000,CLAUDIA
2023-03-27 00:00:00,,1899-12-30 11:30:00,retiro,40000,claudia
2023-03-27 00:00:00,,1899-12-30 03:14:00,RETIRO,40000,CARY
2023-03-31 00:00:00,1,1899-12-30 05:05:00,retiro,50000,cary
2023-04-03 00:00:00,1,1899-12-30 03:23:00,RETIRO,80000,CARY
